Key,English(en),Spanish(es)
ball.8_Ball.name,8 Ball,Bola 8
ball.8_Ball.desc,x3 score every 8th component hit.,x3 puntos cada 8º golpe de componente.
ball.AmpUp.name,Amp Up,Amplificar
ball.AmpUp.desc,"One use. On first component hit, destroys itself and permanently amps up the ball queued behind it (25% chance per hit to give +0.1 mult).","Un solo uso. Al primer golpe de componente, se destruye y amplifica permanentemente la bola en cola detrás de ella (25% de probabilidad por golpe de dar +0.1 mult)."
ball.Blue_Two.name,Blue Two,Azul Dos
ball.Blue_Two.desc,Scores 2x points.,Puntúa 2x puntos.
ball.BOMI.name,Ball of Minor Inconvenience,Bola de Inconveniente Menor
ball.BOMI.desc,Scores 1.5x but every 10th hit the score is inverted and subtracts.,Puntúa 1.5x pero cada 10º golpe la puntuación se invierte y resta.
ball.ConfettiBall.name,Confetti,Confeti
ball.ConfettiBall.desc,"Every 4 component hits, spawns 3 colorful mini-balls that pop after 3 hits. Up to 4 bursts per ball.","Cada 4 golpes de componente, genera 3 minibolas coloridas que estallan tras 3 golpes. Hasta 4 ráfagas por bola."
ball.CrossEyed.name,Cross-Eyed,Bizca
ball.CrossEyed.desc,Swaps flipper inputs. Doubles mult gained from board hits.,Invierte los controles de las paletas. Duplica el mult ganado por golpes al tablero.
ball.Egg.name,Egg,Huevo
ball.Egg.desc,Breaks on first collision. Doubles the effects of the ball that shoots after it.,Se rompe en la primera colisión. Duplica los efectos de la bola que se lanza después.
ball.Eye_on_The_Prize.name,Eye on the Prize,Ojo en el Premio
ball.Eye_on_The_Prize.desc,Spawn 10 white balls and 1 red ball. The white balls score x0.25 but the red one scores x3.,Genera 10 bolas blancas y 1 bola roja. Las bolas blancas puntúan x0.25 pero la roja puntúa x3.
ball.Gear.name,Gear,Engranaje
ball.Gear.desc,Mult gained from board targets is multiplied by how many Gear balls are in your loadout. Amplifier class.,El mult ganado por las dianas del tablero se multiplica por cuántas bolas Engranaje hay en tu inventario. Clase amplificadora.
ball.Golf_Ball.name,Golf Ball,Bola de Golf
ball.Golf_Ball.desc,"Ball first hit gives you 500 points and x2 mult. Everytime you hit a board component after that, you lose 10 points and .1 mult.","El primer golpe te da 500 puntos y x2 mult. Cada vez que golpeas un componente del tablero después, pierdes 10 puntos y .1 mult."
ball.Investor_Ball.name,Investor,Inversor
ball.Investor_Ball.desc,Earn +$1 for every 12 components hit.,Gana +$1 por cada 12 componentes golpeados.
ball.Joker_Ball.name,Joker,Comodín
ball.Joker_Ball.desc,Scores 1.25x.,Puntúa 1.25x.
ball.Leprechaun.name,Leprechaun,Leprechaun
ball.Leprechaun.desc,Earn +$1 for every 5 components hit.,Gana +$1 por cada 5 componentes golpeados.
ball.Lucky_7.name,Lucky 7,7 de la Suerte
ball.Lucky_7.desc,x2 score every 7th component hit.,x2 puntos cada 7º golpe de componente.
ball.MatryoshkaDoll.name,Matryoshka Doll,Muñeca Matrioska
ball.MatryoshkaDoll.desc,"Every 10 component hits, splits into two smaller copies. Each copy can split once more — up to four tiny balls. Splitter class.","Cada 10 golpes de componente, se divide en dos copias más pequeñas. Cada copia puede dividirse una vez más — hasta cuatro bolas diminutas. Clase divisora."
ball.MysteryCommon.name,Mystery Common Ball,Bola Común Misteriosa
ball.MysteryCommon.desc,Reveals a random Common ball when added to your loadout.,Revela una bola Común aleatoria al añadirse a tu inventario.
ball.MysteryUncommon.name,Mystery Uncommon Ball,Bola Poco Común Misteriosa
ball.MysteryUncommon.desc,Reveals a random Uncommon ball when added to your loadout.,Revela una bola Poco Común aleatoria al añadirse a tu inventario.
ball.PiggyBank.name,Piggy Bank,Hucha
ball.PiggyBank.desc,Breaks on first scoring hit and pays shop sell value in coins. Gains +$3 sell value each round while in your loadout.,Se rompe en el primer golpe que puntúa y paga su valor de venta en monedas. Gana +$3 de valor de venta cada ronda mientras esté en tu inventario.
ball.Pinball.name,Pinball,Pinball
ball.Pinball.desc,"Standard pinball, nothing special here.","Pinball estándar, nada especial aquí."
ball.Pitball.name,Pitball,Pitball
ball.Pitball.desc,Gains +0.1 mult every 5 seconds while in play.,Gana +0.1 mult cada 5 segundos mientras está en juego.
ball.Racket_Ball.name,Racket Ball,Bola de Ráquet
ball.Racket_Ball.desc,Adds mult everytime you hit the ball with a flipper.,Añade mult cada vez que golpeas la bola con una paleta.
ball.Red_Two.name,Red Two,Rojo Dos
ball.Red_Two.desc,Scores 2x multiplier.,Puntúa 2x multiplicador.
ball.Scatter.name,Scatter,Dispersión
ball.Scatter.desc,Splits into two balls on 5th component hit. Two is better than one right?,"Se divide en dos bolas al 5º golpe de componente. Dos es mejor que una, ¿verdad?"
ball.Snowball.name,Snowball,Bola de Nieve
ball.Snowball.desc,"Each points-type board hit scores with your current point multiplier, then increases that multiplier by 1. Striker class.","Cada golpe al tablero de tipo puntos puntúa con tu multiplicador de puntos actual, y luego aumenta ese multiplicador en 1. Clase atacante."
ball.Suspense.name,Suspense,Suspense
ball.Suspense.desc,Scoring buff increases exponentially the longer you don't use the pinball flippers. Buff resets when the flipper is used.,La mejora de puntuación aumenta exponencialmente cuanto más tiempo no uses las paletas del pinball. La mejora se reinicia al usar la paleta.
ball.Tenzo.name,Tenzo,Tenzo
ball.Tenzo.desc,"Every 10 component hits, give +100 pts +0.2 mult. all other hits don't score","Cada 10 golpes de componente, da +100 pts +0.2 mult. los demás golpes no puntúan."
ball.Wall_Ball.name,Wall Ball,Bola de Pared
ball.Wall_Ball.desc,Scores +1 point for every wall hit.,Puntúa +1 punto por cada golpe a la pared.
artifact.ActiveIncomeArtifactDefinition.name,Active Income Module,Módulo de Ingresos Activos
artifact.ActiveIncomeArtifactDefinition.desc,This module halves all coins gotten from level ups and doubles all coins gotten from mint type pinballs and components.,Este módulo reduce a la mitad todas las monedas obtenidas al subir de nivel y duplica todas las monedas obtenidas de pinballs y componentes de tipo mint.
artifact.ExtraSplitArtifactDefinition.name,Extra Split Module,Módulo de División Extra
artifact.ExtraSplitArtifactDefinition.desc,This module makes splitter type balls spawn one extra pinball.,Este módulo hace que las bolas de tipo divisor generen un pinball extra.
artifact.MultplierArtifactDefinition.name,Multiplier Module,Módulo Multiplicador
artifact.MultplierArtifactDefinition.desc,This module halves all points recieved and doubles all mult recieved.,Este módulo reduce a la mitad todos los puntos recibidos y duplica todo el mult recibido.
component.BombBumper.name,Bomb Bumper,Bumper Bomba
component.BombBumper.desc,"Every 15 times this bumper gets hit, it explodes and scores points from all the components surrounding it, including itself!","Cada 15 veces que golpean este bumper, explota y puntúa los puntos de todos los componentes que lo rodean, ¡incluido él mismo!"
component.BombTarget.name,Bomb Target,Diana Bomba
component.BombTarget.desc,"Every 15 times this target gets hit, it explodes and scores points from all the components surrounding it, including itself!","Cada 15 veces que golpean esta diana, explota y puntúa los puntos de todos los componentes que la rodean, ¡incluida ella misma!"
component.CasinoBumper.name,Casino Bumper,Bumper Casino
component.CasinoBumper.desc,"Every 3 times this bumper is hit, adds an extra 1 - 20 points to score.","Cada 3 veces que golpean este bumper, añade entre 1 y 20 puntos extra a la puntuación."
component.CasinoTarget.name,Casino Target,Diana Casino
component.CasinoTarget.desc,"Every 3 times this target is hit, adds an extra 0.1 - 0.5 mult to score.","Cada 3 veces que golpean esta diana, añade entre 0.1 y 0.5 de mult extra a la puntuación."
component.DefaultBumper.name,Default Bumper,Bumper Estándar
component.DefaultBumper.desc,Scores 5 points when hit.,Puntúa 5 puntos al ser golpeado.
component.DefaultFlipper.name,Flipper,Paleta
component.DefaultFlipper.desc,Flips the ball up the board,Impulsa la bola hacia arriba del tablero.
component.DefaultKicker.name,Kicker,Lanzador
component.DefaultKicker.desc,Scores 5 points when hit.,Puntúa 5 puntos al ser golpeado.
component.DefaultTarget.name,Default Target,Diana Estándar
component.DefaultTarget.desc,"Default target, scores 0.1 mult.","Diana estándar, puntúa 0.1 mult."
component.DropTarget.name,Drop Target,Diana Abatible
component.DropTarget.desc,"When hit, score 0.2x mult and drop for 15 seconds.","Al golpearla, puntúa 0.2x mult y se abate durante 15 segundos."
component.DuplicatingBumper.name,Duplicating Bumper,Bumper Duplicador
component.DuplicatingBumper.desc,"Every 10 times this bumper is hit, create a duplicate of the ball that hit it that can only hit a component 10 times before being destroyed.","Cada 10 veces que golpean este bumper, crea un duplicado de la bola que lo golpeó, que solo puede golpear un componente 10 veces antes de destruirse."
component.DuplicatingTarget.name,Duplicating Target,Diana Duplicadora
component.DuplicatingTarget.desc,"Every 10 times this target is hit, create a duplicate of the ball that hit it that can only hit a component 10 times before being destroyed.","Cada 10 veces que golpean esta diana, crea un duplicado de la bola que la golpeó, que solo puede golpear un componente 10 veces antes de destruirse."
component.FireBumper.name,Fire Bumper,Bumper de Fuego
component.FireBumper.desc,"If this bumper gets hit 3 times within 10 seconds, it gets set 'on fire', where all points are tripled. Keep hitting it in order to keep the fire going!","Si golpean este bumper 3 veces en 10 segundos, se 'incendia', triplicando todos los puntos. ¡Sigue golpeándolo para mantener el fuego!"
component.FireTarget.name,Fire Target,Diana de Fuego
component.FireTarget.desc,"If this target gets hit 3 times within 10 seconds, it gets set 'on fire', where all points are tripled. Keep hitting it in order to keep the fire going!","Si golpean esta diana 3 veces en 10 segundos, se 'incendia', triplicando todos los puntos. ¡Sigue golpeándola para mantener el fuego!"
component.FrenzyModeDuplicator.name,Frenzy Mode Duplicator,Duplicador de Modo Frenesí
component.FrenzyModeDuplicator.desc,"Upon ball entry, start frenzy mode and duplicate the ball that entered.","Al entrar la bola, inicia el modo frenesí y duplica la bola que entró."
component.FrozenBumper.name,Frozen Bumper,Bumper Congelado
component.FrozenBumper.desc,"Starts off frozen and unable to score. After being hit 15 times, will permanently unfreeze and score double points.","Comienza congelado e incapaz de puntuar. Tras ser golpeado 15 veces, se descongela permanentemente y puntúa el doble."
component.FrozenTarget.name,Frozen Target,Diana Congelada
component.FrozenTarget.desc,"Starts off frozen and unable to score. After being hit 15 times, will permanently unfreeze and score double points.","Comienza congelada e incapaz de puntuar. Tras ser golpeada 15 veces, se descongela permanentemente y puntúa el doble."
component.Rollover.name,Rollover,Rollover
component.Rollover.desc,Scores 2 points when ball rolls over it.,Puntúa 2 puntos cuando la bola pasa sobre él.
component.Point Flipper.name,Point Flipper,Paleta de Puntos
component.Point Flipper.desc,Scores 1 points when ball rolls over it.,Puntúa 1 punto cuando la bola pasa sobre ella.
component.Portal Entrance.name,Portal Entrance,Entrada de Portal
component.Portal Entrance.desc,Scores 25 points. Launches the ball through the portal exit.,Puntúa 25 puntos. Lanza la bola a través de la salida del portal.
component.Portal Exit.name,Portal Exit,Salida de Portal
component.Portal Exit.desc,Ball launches from here when sent through the Portal Entrance.,La bola se lanza desde aquí cuando se envía a través de la Entrada de Portal.
component.Variety Flipper.name,Variety Flipper,Paleta de Variedad
component.Variety Flipper.desc,"Gives 5 points every time a ball hits it that is different from the last ,increasing by 5 every time this happens in succession.","Da 5 puntos cada vez que la golpea una bola distinta a la anterior, aumentando en 5 cada vez que esto ocurre en sucesión."
challenge.Challenge_Alpha.name,OG,OG
challenge.Challenge_Alpha.desc,Complete the OG Board,Completa el tablero OG
challenge.Challenge_Alpha.win,Reach Level 7,Alcanza el Nivel 7
challenge.Challenge_NA.name,Test Flight,Vuelo de Prueba
challenge.Challenge_NA.desc,Great for beginners,Ideal para principiantes
challenge.Challenge_NA.win,3 Stars,3 Estrellas
challenge.Challenge_Spinners.name,Spinners,Spinners
challenge.Challenge_Spinners.desc,Complete the Spinners Board,Completa el tablero Spinners
challenge.Challenge_Spinners.win,Beat 10 rounds,Supera 10 rondas
modifier.Cursed_Multiplier.name,Cursed Multiplier,Multiplicador Maldito
modifier.Cursed_Multiplier.desc,Multiplier gains are reduced by 50% this round.,Las ganancias de multiplicador se reducen un 50% esta ronda.
modifier.Higher_Stakes.name,Higher Stakes,Apuestas Altas
modifier.Higher_Stakes.desc,Goal requirement increased by 50%.,El requisito del objetivo aumenta un 50%.
modifier.Poverty.name,Poverty,Pobreza
modifier.Poverty.desc,No credits can be earned this round,No se pueden ganar créditos esta ronda.
modifier.Unlucky_Day.name,Unlucky Day,Día de Mala Suerte
modifier.Unlucky_Day.desc,Two random devil modifiers apply this round.,Se aplican dos modificadores del diablo aleatorios esta ronda.
modifier.Weakened.name,Weakened,Debilitado
modifier.Weakened.desc,Points earned reduced by 50%.,Los puntos ganados se reducen un 50%.
ship.LoricF1.name,Loric F1,Loric F1
ship.LoricF1.desc,A reliable generic spacecraft.,Una nave espacial genérica y fiable.
ship.Silverwolf.name,Silverwolf,Silverwolf
ship.Silverwolf.desc,1.5x credits earned but also the amount of score needed to level up every round. Starts each run with 1 Investor.,1.5x créditos ganados pero también 1.5x la puntuación necesaria para subir de nivel cada ronda. Comienza cada partida con 1 Inversor.
board.Board_Alpha.name,OG,OG
board.Board_NA.name,Starter Playfield,Campo de Juego Inicial
board.Board_Spinners.name,Spinners,Spinners
element.Striker.name,Striker,Atacante
element.Amplifier.name,Amplifier,Amplificador
element.Mint.name,Mint,Acuñador
element.Splitter.name,Splitter,Divisor
element.Anomaly.name,Anomaly,Anomalía
element.Catalyst.name,Catalyst,Catalizador
element.Artifact.name,Artifact,Artefacto
